mae,yerr
12.742340234344445,0.8413672178044547
13.180518111273813,1.580944995154809
13.502534736243593,0.8940039715893627
11.045637332621805,1.9694870546300105
9.250494677604587,1.7353476844535154
8.91011668308973,0.6815021789844481
8.15291810299362,1.2109137667401613
6.842147602686279,1.2098655351806935
6.332822252026544,1.1583240558174617
5.385711199452155,0.9700708399373992
4.941434475933109,0.6116067568739056
5.006393221910627,0.8673257566029582
4.580964655091562,1.296767884679051
4.843729997890586,0.7495762124471189
5.004686371834581,0.4408658917996456
