mae,yerr
9.812170395424484,0.9617767706460617
8.79387653856773,0.9363149271329964
7.857144686260289,0.7893587412611365
7.608255516301805,0.7160943992442156
7.794823581922062,0.8542284911152338
7.5679807070809755,0.8287250293230731
7.760233520251913,1.19785505338506
7.38512485240931,1.2396792333028395
7.1708138936783925,1.3374394550490403
7.229830295718182,1.0210773823702282
7.297767794382494,0.7328836608185741
6.671284098524133,0.9191709243026932
6.390567892230625,0.6859364954286108
5.806031949872454,1.1507871325672026
5.215846369362589,1.813029178335981
3.9824493211884926,2.740751741958712
