mae,yerr
10.2907007644984,3.3209887098482582
5.234299323551525,1.3830795291125042
5.580644865552445,1.4160653084242774
4.743266914140385,1.605440732970712
3.89981672408175,0.8684965835313702
2.8622448199575787,0.34645266959137305
2.8903274693902152,0.43316197826229275
2.6274866740099605,0.3839191117236212
2.38462737142874,0.3120466832385634
2.0755301294942705,0.2405929173835413
1.9121623267684846,0.1837849397384999
1.8152660400250582,0.16398710213305093
1.7198389723270135,0.18546392931653294
1.6270213577799257,0.10734460600089304
1.5376644747847081,0.2094752241083494
1.5103385169914179,0.1530205521530654
1.4164635201692641,0.12403866364974148
1.3590712424963383,0.16190054118755529
1.3651139607129423,0.12359360302776258
1.3404404216074208,0.2004691183363783
1.3287949679773599,0.16936373552203052
1.227868393521025,0.24041267850238646
1.147459892979265,0.1906862622915876
0.9705266892645723,0.15236223781047445
0.9453785860001922,0.10177243612665106
0.8938592540743256,0.10720645262009522
0.7817308311112763,0.156338512195427
0.586689653000084,0.5120421472483462
