mae,yerr
3.2050106965165215,0.1803728630965179
3.0307864732916516,0.20939098860297545
2.788105394049904,0.22717330980949343
2.522860464823661,0.23354072162520745
2.3333830504757085,0.2725289531568015
1.9089971601741478,0.3017134088716758
1.9283957174353936,0.33958155792474126
1.8614108029414822,0.2088853159991182
1.7827984591848989,0.18684681474357268
1.767892495726026,0.19805513317592874
1.6459266308040248,0.08815566701451619
1.6404753546004973,0.05356044544775378
1.6810256015286218,0.04566775345620735
1.7002638369872778,0.15115557958187142
1.7311467180089526,0.16309240175076853
1.5841706379988305,0.1703858666869958
1.5060133257883859,0.04763065736644944
1.4637741052129682,0.05092530976825384
1.499077185517178,0.059266589843862336
1.4408709895318443,0.043451497962754326
1.4309766900223573,0.022177663759782355
1.4921257455798367,0.04065285653031462
1.5763374863869983,0.02183509384044744
1.6916435897639182,0.03975800898980193
1.4884188723731708,0.08632222591468855
1.51250099669476,0.059889882771345763
1.5073413751631928,0.015944020166395966
1.3608062440720128,0.02295849878828801
