mae,yerr
3.1247255623686976,0.18852025858438307
2.987152810416951,0.19911470199241696
2.7817298168636158,0.22105508705154997
2.5268489988604346,0.24034950976471453
2.217186695073071,0.21229756644377154
1.9598782018351546,0.2483832989996544
1.8585912263540654,0.1161993916222904
1.8441349198291168,0.12663466526194142
1.7000549223871093,0.08921257798971156
1.6385472200004554,0.08885598512781098
1.5975079064014683,0.05337182907582873
1.623048998189324,0.021836700239107897
1.6494386857186423,0.034345984212409225
1.7199109157285435,0.0472926122620982
1.7687121778968666,0.05076638424214844
1.8391159387840432,0.04551455766663995
1.5824330569894085,0.20141039298227664
1.3986017055720115,0.08250848071252687
1.4085486847471813,0.031017289713675955
1.4314936841063677,0.02429822462853432
1.382152517392138,0.04576284870691266
1.4204338058453954,0.05445227303955824
1.4894544110009555,0.03971494965776082
1.63158651271162,0.04208737027215626
1.5102584731211117,0.14265865264685929
1.3256780526183343,0.06933153254788077
1.537578200611794,4.4361176589024595e-06
1.3457307894943527,8.421888045065988e-07
