mae,yerr
8.370477787461237,0.27228035846832693
8.118291606498465,0.2853815256871504
7.908736198520349,0.419160583737155
7.573271580501858,0.3324110142648987
7.292869521717189,0.27881917003134254
7.2137982976930575,0.2902953058891494
7.096600537322459,0.32701944777717895
6.640946727501498,0.38589230835962485
5.928059179881852,0.4414510023671955
5.277083068594275,0.4762788275056887
6.156020855917776,0.18937236499668175
5.829864188755179,0.2825074084313267
6.363265093649739,0.07039495231694376
5.972507126463428,0.46582103025341554
4.557333941460678,0.001077904926446933
2.1548636581296337,5.772560652799851e-07
